seniority_filled,seniority_filled_short,employment_status,count,row_share_%,row_total
C-level,C-level,employed,83,62.9,132
C-level,C-level,not_employed,47,35.6,132
C-level,C-level,unknown,2,1.5,132
Junior,Junior,employed,11,68.8,16
Junior,Junior,not_employed,5,31.2,16
Junior,Junior,unknown,0,0.0,16
Lead,Lead,employed,28,77.8,36
Lead,Lead,not_employed,8,22.2,36
Lead,Lead,unknown,0,0.0,36
Middle,Middle,employed,23,71.9,32
Middle,Middle,not_employed,8,25.0,32
Middle,Middle,unknown,1,3.1,32
Not specified,Not specified,employed,63,21.6,292
Not specified,Not specified,not_employed,24,8.2,292
Not specified,Not specified,unknown,205,70.2,292
Senior,Senior,employed,148,68.8,215
Senior,Senior,not_employed,63,29.3,215
Senior,Senior,unknown,4,1.9,215
