last_job_title,count,share_%,job_title_short
Project Manager,7,14.0,Project Manager
Коммерческий директор (CCO),3,6.0,Коммерческий директор (CCO)
Software Engineer / Data Engineer,2,4.0,Software Engineer / Data Engineer
Руководитель программы «Городская среда» (проектная деятельность),2,4.0,Руководитель программы «Городская среда» (проектная деяте...
Лидер розничного кредитования,2,4.0,Лидер розничного кредитования
Менеджер проектов,2,4.0,Менеджер проектов
Lead Consultant,2,4.0,Lead Consultant
Заместитель генерального директора,2,4.0,Заместитель генерального директора
Операционный директор (COO),2,4.0,Операционный директор (COO)
Head of Project Management Office,2,4.0,Head of Project Management Office
QA Engineer,2,4.0,QA Engineer
Senior Backend Developer (Laravel),2,4.0,Senior Backend Developer (Laravel)
Коммерческий директор группы компаний,2,4.0,Коммерческий директор группы компаний
Business Analyst,2,4.0,Business Analyst
Unity Game Developer (Gameplay/UI) | Проект Empire Of Vampires,1,2.0,Unity Game Developer (Gameplay/UI) | Проект Empire Of Vam...
Strategy Consultant,1,2.0,Strategy Consultant
"Исполнительный директор (P&L, реализация стратегии)",1,2.0,"Исполнительный директор (P&L, реализация стратегии)"
Инженер-программист,1,2.0,Инженер-программист
Support Agent,1,2.0,Support Agent
И.о. руководителя отдела сервиса,1,2.0,И.о. руководителя отдела сервиса
Talent Director (Head of HR for the studio),1,2.0,Talent Director (Head of HR for the studio)
Technical Support Engineer (Lead),1,2.0,Technical Support Engineer (Lead)
Technischer Zeichner / Innenarchitekt,1,2.0,Technischer Zeichner / Innenarchitekt
Директор филиала,1,2.0,Директор филиала
Директор регионального представительства,1,2.0,Директор регионального представительства
Генеральный директор / член правления (проект),1,2.0,Генеральный директор / член правления (проект)
Верификатор / валидатор данных,1,2.0,Верификатор / валидатор данных
Аналитик данных,1,2.0,Аналитик данных
Директор по рискам и аналитике,1,2.0,Директор по рискам и аналитике
Директор по региональному развитию,1,2.0,Директор по региональному развитию
