domain_filled,current_job_title_filled,count
Other,Not specified,198
Other,Business Process Analyst,1
Other,GameDev Recruiter,1
Other,Head of Real Estate Development,1
Other,"Head of Video Production (07.2024 -- 12.2025) \,|\, Video Producer (12.2023 -- 07.2024)",1
Other,Independent Research (migration \& education),1
Other,Managing partner and CEO,1
Other,"Senior UX Researcher, Team Lead",1
Other,Бизнес-аналитик (ERP Microsoft Dynamics NAV),1
Other,Директор по производству,1
Other,Лидер розничного кредитования,1
Other,Психолог-консультант,1
