tool,count,share_%,domain_filled
Miro,2,9.1,Other
Figma,2,9.1,Other
KPI Dashboards (MS Excel,1,4.5,Other
SQL,1,4.5,Other
Управление эффективностью,1,4.5,Other
FCR,1,4.5,Other
CES,1,4.5,Other
NPS,1,4.5,Other
Клиентский сервис (CSI,1,4.5,Other
Оптимизация бизнес-процессов,1,4.5,Other
Digital Sales Strategy,1,4.5,Other
Jira,1,4.5,Other
GitHub,1,4.5,Other
Azure DevOps,1,4.5,Other
Excel (advanced,1,4.5,Other
Bitrix24 (CRM/Workflow/Task tracking,1,4.5,Other
Data visualization and storytelling,1,4.5,Other
NPS and CSAT measurement,1,4.5,Other
JTBD,1,4.5,Other
personas,1,4.5,Other
