region_norm,Data/ML/Analytics,Design/Creative,Engineering/IT,Finance/Legal/HR,Healthcare/Education,Marketing/Sales,Operations/Administration,Other,Product/Project,Product/Project Management
Almaty,0.0,0.0,33.33333333333333,16.666666666666664,0.0,8.333333333333332,16.666666666666664,0.0,0.0,25.0
Dubai,4.166666666666666,4.166666666666666,20.833333333333336,0.0,0.0,20.833333333333336,4.166666666666666,0.0,0.0,45.83333333333333
Minsk,0.0,12.0,40.0,4.0,4.0,8.0,4.0,4.0,0.0,24.0
Moscow,0.0,0.0,15.573770491803279,18.0327868852459,0.0,9.836065573770492,10.655737704918032,1.639344262295082,0.0,44.26229508196721
Other,0.8733624454148471,1.7467248908296942,25.76419213973799,15.283842794759824,1.3100436681222707,6.550218340611353,13.100436681222707,2.6200873362445414,0.0,32.751091703056765
Remote,0.0,18.181818181818183,9.090909090909092,9.090909090909092,9.090909090909092,9.090909090909092,18.181818181818183,0.0,0.0,27.27272727272727
Russia,0.0,0.0,32.25806451612903,3.225806451612903,3.225806451612903,16.129032258064516,3.225806451612903,3.225806451612903,0.0,38.70967741935484
Tashkent,11.11111111111111,0.0,11.11111111111111,0.0,0.0,0.0,33.33333333333333,11.11111111111111,11.11111111111111,22.22222222222222
Warsaw,0.0,16.666666666666664,25.0,0.0,0.0,8.333333333333332,0.0,0.0,0.0,50.0
"Санкт, Петербург",0.0,7.142857142857142,28.57142857142857,14.285714285714285,0.0,0.0,7.142857142857142,0.0,0.0,42.857142857142854
