company_norm,C-level,Junior,Lead,Middle,Senior
EPAM,0.0,0.0,50.0,0.0,50.0
LYFT,0.0,33.33333333333333,0.0,0.0,66.66666666666666
PWC,0.0,0.0,0.0,0.0,100.0
coherent solutions,0.0,0.0,0.0,0.0,100.0
delta distribution,50.0,0.0,0.0,0.0,50.0
freelance,0.0,50.0,0.0,0.0,50.0
intelliverse,0.0,33.33333333333333,33.33333333333333,33.33333333333333,0.0
philosophy it,0.0,0.0,50.0,0.0,50.0
s hub startup accelerator,100.0,0.0,0.0,0.0,0.0
wargaming,0.0,0.0,66.66666666666666,0.0,33.33333333333333
Сбер,16.666666666666664,16.666666666666664,16.666666666666664,0.0,50.0
Яндекс,0.0,0.0,0.0,0.0,100.0
тоо wisk telecom solutions,0.0,0.0,0.0,0.0,100.0
частная практика,50.0,50.0,0.0,0.0,0.0
